Price (TL),Room,Size (m²),Building Age,City,District,Neighborhood,Room_Numeric
14000,2+1,90,45.0,Ankara,Çankaya,Çamlıtepe Mah.,3
22000,3+1,115,35.0,Ankara,Keçiören,Kavacık Subayevleri Mah.,4
11000,2+1,85,11.0,Ankara,Etimesgut,Yapracık Mah.,3
35000,3+1,130,35.0,Ankara,Keçiören,Aşağı Eğlence Mah.,4
17500,3+1,110,50.0,Ankara,Mamak,Demirlibahçe Mah.,4
15500,3+1,120,28.0,Ankara,Sincan,Atatürk Mah.,4
17500,3+1,130,33.0,Ankara,Mamak,Balkiraz Mah.,4
10000,3+1,110,50.0,Ankara,Altındağ,Aydınlıkevler Mah.,4
43000,4+1,170,16.0,Ankara,Yenimahalle,Kardelen Mah.,5
40000,3+1,110,35.0,Ankara,Çankaya,İlkadım Mah.,4
16000,2+1,100,6.6,Ankara,Sincan,Menderes Mah.,3
17500,2+1,100,5.0,Ankara,Etimesgut,Topçu Mah.,3
24000,3+1,115,20.0,Ankara,Çankaya,Bağcılar Mah.,4
30000,3+1,120,30.0,Ankara,Keçiören,Aşağı Eğlence Mah.,4
28500,3+1,135,20.0,Ankara,Çankaya,Küçükesat Mah.,4
33000,4+1,180,5.0,Ankara,Yenimahalle,Aşağı Yahyalar Mah.,5
15900,3+1,115,25.0,Ankara,Etimesgut,İstasyon Mah.,4
20000,3+1,135,20.0,Ankara,Sincan,Andiçen Mah.,4
11500,1+1,50,4.0,Ankara,Çubuk,Dumlupınar Mah.,2
18000,3+1,120,25.0,Ankara,Keçiören,Güçlükaya Mah.,4
18500,2+1,110,15.0,Ankara,Keçiören,Kalaba Mah.,3
23000,3+1,130,10.0,Ankara,Pursaklar,Yunus Emre Mah.,4
23000,1+1,55,1.0,Ankara,Gölbaşı,Taşpınar Mah.,2
28000,3+1,140,24.0,Ankara,Keçiören,Basınevleri Mah.,4
21000,3+1,140,17.0,Ankara,Etimesgut,Piyade Mah.,4
17500,1+1,35,2.0,Ankara,Çankaya,Devlet Mah.,2
25000,3+1,120,20.0,Ankara,Çankaya,Sokullu Mehmet Paşa Mah.,4
20500,1+1,55,25.0,Ankara,Etimesgut,Şeyh Şamil Mah.,2
28000,3+1,90,30.0,Ankara,Çankaya,Şehit Cevdet Özdemir Mah.,4
22000,3+1,125,25.0,Ankara,Çankaya,Çiğdem Mah.,4
22000,1+1,65,12.0,Ankara,Gölbaşı,Karşıyaka Mah.,2
16000,1+1,54,2.375,Ankara,Gölbaşı,İncek Mah.,2
30000,3+1,130,20.0,Ankara,Çankaya,Dodurga Mah.,4
35000,3+1,120,27.0,Ankara,Çankaya,Sokullu Mehmet Paşa Mah.,4
37000,2+1,85,51.0,Ankara,Çankaya,Yücetepe Mah.,3
32000,3+1,130,20.0,Ankara,Çankaya,Ata Mah.,4
26000,3+1,110,45.0,Ankara,Çankaya,Ayrancı Mah.,4
15500,3+1,110,22.0,Ankara,Yenimahalle,Ergenekon Mah.,4
35000,3+1,150,4.0,Ankara,Yenimahalle,Turgut Özal Mah.,4
