Price (TL),Room,Size (m²),Building Age,IL,ILCE,Neighborhood
24000,3+1,110,25.0,Ankara,Yenimahalle,Yeniçağ Mah.
20500,3+1,130,15.0,Ankara,Etimesgut,İstasyon Mah.
40000,4+1,150,20.0,Ankara,Çankaya,Yukarı Öveçler Mah.
9300,1+1,55,12.0,Ankara,Sincan,Hürriyet Mah.
17500,2+1,60,1.0,Ankara,Gölbaşı,Kızılcaşar Mah.
37000,2+1,110,5.0,Ankara,Çankaya,Bahçelievler Mah.
27500,1+1,50,,Ankara,Çankaya,Kırkkonaklar Mah.
14500,3+1,100,30.0,Ankara,Keçiören,Şenlik Mah.
29500,1+1,60,8.0,Ankara,Gölbaşı,Hacılar Mah.
24000,3+1,120,35.0,Ankara,Çankaya,Topraklık Mah.
32000,3+1,125,22.0,Ankara,Çankaya,Emek Mah.
26000,2+1,99,39.0,Ankara,Çankaya,İşçi Blokları Mah.
15000,1+1,55,40.0,Ankara,Altındağ,Aydınlıkevler Mah.
15000,2+1,55,3.0,Ankara,Çubuk,Esenboğa Merkez Mah.
30000,1+1,70,25.0,Ankara,Çankaya,Oğuzlar Mah.
29000,3+1,160,20.0,Ankara,Çankaya,Cevizlidere Mah.
32000,3+1,135,36.0,Ankara,Çankaya,Ayrancı Mah.
13900,3+1,120,25.0,Ankara,Keçiören,Ayvalı Mah.
24500,2+1,115,39.0,Ankara,Çankaya,Küçükesat Mah.
30000,3+1,130,25.0,Ankara,Çankaya,Birlik Mah.
15000,3+1,110,20.0,Ankara,Mamak,General Zeki Doğan Mah.
20000,1+1,65,27.0,Ankara,Etimesgut,Altay Mah.
23000,2+1,100,45.0,Ankara,Çankaya,Bahçelievler Mah.
14000,3+1,135,7.0,Ankara,Keçiören,Bademlik Mah.
21000,3+1,110,25.0,Ankara,Çankaya,Osman Temiz Mah.
11000,2+1,95,16.0,Ankara,Etimesgut,Elvan Mah.
25250,3+1,110,11.0,Ankara,Çankaya,Kırkkonaklar Mah.
34000,2+1,105,,Ankara,Çankaya,Kültür Mah.
26000,5+1,180,13.0,Ankara,Yenimahalle,Ragıp Tüzün Mah.
50000,4+1,170,20.0,Ankara,Çankaya,Çukurambar Mah.
35000,1+1,80,8.0,Ankara,Çankaya,İlkbahar Mah.
25500,1+1,70,8.0,Ankara,Etimesgut,Altay Mah.
55000,3+1,165,20.0,Ankara,Çankaya,Üniversiteler Mah.
17000,3+1,115,14.0,Ankara,Sincan,Pınarbaşı Mah.
18000,2+1,86,28.0,Ankara,Etimesgut,Şeyh Şamil Mah.
14000,3+1,90,45.0,Ankara,Altındağ,Aydınlıkevler Mah.
32000,3+1,150,10.0,Ankara,Etimesgut,Elvan Mah.
31000,3+1,130,28.0,Ankara,Yenimahalle,Beştepe Mah.
17000,3+1,130,40.0,Ankara,Keçiören,Tepebaşı Mah.
32000,4+1,120,10.0,Ankara,Çankaya,Kırkkonaklar Mah.
28500,2+1,120,50.0,Ankara,Çankaya,Muhsin Ertuğrul Mah.
28000,3+1,135,20.0,Ankara,Yenimahalle,Yeni Batı Mah.
25000,3+1,110,33.0,Ankara,Mamak,Balkiraz Mah.
17500,1+1,52,30.0,Ankara,Etimesgut,Şeyh Şamil Mah.
14500,3+1,110,27.0,Ankara,Sincan,Tandoğan Mah.
20000,1+1,45,1.0,Ankara,Yenimahalle,Emniyet Mah.
22000,3+1,115,15.0,Ankara,Çankaya,Mürsel Uluç Mah.
27000,2+1,110,40.0,Ankara,Çankaya,Kavaklıdere Mah.
25000,3+1,130,24.0,Ankara,Çankaya,Sancak Mah.
23000,3+1,140,20.0,Ankara,Çankaya,Birlik Mah.
33000,3+1,115,40.0,Ankara,Çankaya,Yukarı Bahçelievler Mah.
18000,4+0,100,35.0,Ankara,Çankaya,Ön Cebeci Mah.
32000,2+1,85,5.0,Ankara,Çankaya,Anıttepe Mah.
45000,1+1,65,,Ankara,Çankaya,Yukarı Bahçelievler Mah.
45000,1+1,65,,Ankara,Çankaya,Yukarı Bahçelievler Mah.
