Title,Price (TL),Date,Location,Room,Size (m²),Building Age,Floor,Link,Page,Price per m² (TL)
"134 Square Meters Apartment For Rent in Gölbaşı, Ankara",50000,27-02-2025,Ankara / Gölbaşı / Kızılcaşar Mah.,2+1,134,,Middle,https://www.hepsiemlak.com/en/ankara-golbasi-kizilcasar-kiralik/daire/41082-1114,3,373.13432835820896
"65 Square Meters Apartment For Rent in Gölbaşı, Ankara",27000,18-03-2025,Ankara / Gölbaşı / Kızılcaşar Mah.,1+1,65,4.0,17.,https://www.hepsiemlak.com/en/ankara-golbasi-kizilcasar-kiralik/daire/41082-1115,3,415.38461538461536
"60 Square Meters Apartment For Rent in Çankaya, Ankara",35000,13-03-2025,Ankara / Çankaya / Kültür Mah.,1+1,60,3.0,Middle,https://www.hepsiemlak.com/en/ankara-cankaya-kultur-kiralik/daire/37563-4808,3,583.3333333333334
"60 Square Meters Apartment For Rent in Çankaya, Ankara",35000,13-03-2025,Ankara / Çankaya / Kültür Mah.,1+1,60,3.0,Middle,https://www.hepsiemlak.com/en/ankara-cankaya-kultur-kiralik/daire/37563-4809,3,583.3333333333334
"150 Square Meters Apartment For Rent in Çankaya, Ankara",75000,13-03-2025,Ankara / Çankaya / Barbaros Mah.,1+1,150,,Top,https://www.hepsiemlak.com/en/ankara-cankaya-barbaros-kiralik/daire/37563-4806,4,500.0
"95 Square Meters Apartment For Rent in Çankaya, Ankara",15000,18-03-2025,Ankara / Çankaya / Ertuğrulgazi Mah.,2+1,95,30.0,Raised Ground,https://www.hepsiemlak.com/en/ankara-cankaya-ertugrulgazi-kiralik/daire/37563-4844,4,157.89473684210526
"135 Square Meters Apartment For Rent in Çankaya, Ankara",30750,18-03-2025,Ankara / Çankaya / Sancak Mah.,3+1,135,25.0,4.,https://www.hepsiemlak.com/en/ankara-cankaya-sancak-kiralik/daire/133272-559,4,227.77777777777777
"270 Square Meters Apartment For Rent in Çankaya, Ankara",55000,18-03-2025,Ankara / Çankaya / Bayraktar Mah.,4+1,270,25.0,7.,https://www.hepsiemlak.com/en/ankara-cankaya-bayraktar-kiralik/daire/6632-1864,4,203.7037037037037
"150 Square Meters Apartment For Rent in Çankaya, Ankara",27000,21-03-2025,Ankara / Çankaya / Akpınar Mah.,3+1,150,3.0,1.,https://www.hepsiemlak.com/en/ankara-cankaya-akpinar-kiralik/daire/4180-9361,4,180.0
"120 Square Meters Apartment For Rent in Çankaya, Ankara",21500,18-03-2025,Ankara / Çankaya / Aydınlar Mah.,3+1,120,28.0,1.,https://www.hepsiemlak.com/en/ankara-cankaya-aydinlar-kiralik/daire/66820-4493,4,179.16666666666666
